index,source,content_type,title_en,title_ko,summary_en,summary_ko,source_url,author,published_at,topic,labels,image_url,publication_status,collected_at
11,Microsoft Fabric Community,powerbi_community_blog,Power Bi Alerts with DAX at Power Automate,Power Automate에서 DAX로 Power BI 알림 만들기,"Power BI alerts are a feature that allows us to send an email or mobile notification when a metric meets a specified condition. They are very useful, but they have their limitations. If we wanted to monitor more than just a single number that meets a rule—for example, to stay continuously informed about one or more key metrics, or even receive a small table of values—our only built-in option would be a subscription. There are many alternatives, but none are as simple as turning on your PC and checking Microsoft Teams to see how specific metrics are performing under different conditions. In this article, we'll see how to configure Power Automate to send an email or a Microsoft Teams message containing the results of a DAX query.",DAX 쿼리 결과를 Power Automate로 보내 이메일이나 Teams 알림으로 활용하는 방법입니다.,https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/Power-Bi-Alerts-with-DAX-at-Power-Automate/ba-p/5314017,ibarrau,2026-07-23,서비스 운영,How To,,review,2026-08-15T19:37:02
12,Microsoft Fabric Community,powerbi_community_blog,Clone report pointing to desired LH or workspace - in 5 mins! No manual efforts,보고서를 다른 Lakehouse나 작업 영역으로 빠르게 연결하기,"What if repointing an entire report to a new Lakehouse - tables, measures, RLS and all - took one Notebook run instead of a half-day of manual remapping and efforts? Here's the Semantic Link Labs approach that made it a 5-minute job!",Semantic Link Labs를 활용해 보고서 연결 대상을 새 Lakehouse나 작업 영역으로 빠르게 바꾸는 방법입니다.,https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/Clone-report-pointing-to-desired-LH-or-workspace-in-5-mins-No/ba-p/5309598,InsightsByV,2026-07-21,DAX,How To; DAX,,review,2026-08-15T19:37:02
13,Microsoft Fabric Community,powerbi_community_blog,4 Key Steps to Optimize Power BI Copilot Accuracy with Your Data Model,데이터 모델로 Power BI Copilot 정확도 높이기,"To get the best insights from Power BI Copilot, you need to ensure it understands your data model accurately. In this guide, I'll walk you through four essential steps that help Copilot interpret your Power BI model more effectively.",Copilot이 데이터 모델을 더 정확히 해석하도록 모델 구조와 설명을 정리하는 실무 절차입니다.,https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/4-Key-Steps-to-Optimize-Power-BI-Copilot-Accuracy-with-Your-Data/ba-p/5306207,uzuntasgokberk,2026-07-20,Copilot,How To; Copilot,,review,2026-08-15T19:37:02
14,Microsoft Fabric Community,powerbi_community_blog,Give Users Full Control Over KPI Scale with Dynamic Formatting,동적 서식으로 KPI 단위와 스케일 제어하기,Discover how to empower your users by implementing dynamic formatting to provide complete control over KPI scales,사용자가 KPI 단위와 스케일을 유연하게 바꿀 수 있도록 동적 서식을 적용하는 방법입니다.,https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/Give-Users-Full-Control-Over-KPI-Scale-with-Dynamic-Formatting/ba-p/5297206,Natarajan_M,2026-07-17,시각화,Tips & Tricks; Visualizations,,review,2026-08-15T19:37:02
15,Microsoft Fabric Community,powerbi_community_blog,Power BI Design Skills: Why Accessibility Still Starts with the Prompt,Power BI Design Skills: Why Accessibility Still Starts with the Prompt,"Power BI is teaching AI to design better reports. But is that enough? Microsoft's new Report Design skill can now guide layout, typography, colour and accessibility as part of the AI-assisted build process. It's a genuinely exciting shift for how reports get made. But it raises a question worth sitting with: what should we actually be prompting for? ""Make it accessible"" isn't a spec. An AI agent still needs to know what ""accessible"" means in numbers: contrast ratios, minimum font sizes, target sizes, how alt text should behave when a reader changes a filter. In my latest article, I break down what this new capability actually is, what it isn't yet, and the exact kind of prompt that turns ""make it accessible"" into something an AI agent can build from. Read it here",Power BI Copilot과 AI 기능을 실제 데이터 분석 흐름에 적용하는 방법을 다룹니다.,https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/Power-BI-Design-Skills-Why-Accessibility-Still-Starts-with-the/ba-p/5299070,Juless,2026-07-17,Copilot,How To; Copilot,,review,2026-08-15T19:37:02
20,Microsoft Fabric Community,powerbi_community_blog,Power BI Dataviz World Champs Barcelona | Round 1 Winners!!!,Power BI Dataviz World Champs 소식,"Read on to learn about the winners of the first and most competitive round of the Power BI Dataviz World Championships, where entrants are competing for a spot live, on-stage, at FabCon Barcelona!","Power BI 커뮤니티 이벤트, 대회, 수상자 발표 등 참여형 소식을 정리한 글입니다.",https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/Power-BI-Dataviz-World-Champs-Barcelona-Round-1-Winners/ba-p/5284184,slindsay,2026-07-17,이벤트,Events,,review,2026-08-15T19:37:02
16,Microsoft Fabric Community,powerbi_community_blog,How to Build Power BI Reports Using Only Prompts,How to Build Power BI Reports Using Only Prompts,"Is it possible to create a Power BI report by simply writing a prompt instead of going through long and manual steps? I personally tested the Power BI Copilot feature and experienced the process of generating a report with a single command, step by step. Here’s what I learned.",Power BI Copilot과 AI 기능을 실제 데이터 분석 흐름에 적용하는 방법을 다룹니다.,https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/How-to-Build-Power-BI-Reports-Using-Only-Prompts/ba-p/5286198,uzuntasgokberk,2026-07-13,Copilot,How To; Copilot,,review,2026-08-15T19:37:02
17,Microsoft Fabric Community,powerbi_community_blog,Accessibility in Action: Building Reusable Alternative Text Logic in DAX User-Defined Functions,Accessibility in Action: Building Reusable Alternative Text Logic in DAX User-Defined Functions,"Alternative text in Power BI is often treated as an afterthought, yet for screen‑reader users, it’s the only way a visual becomes meaningful. And while dynamic alt text is essential for interactive reports, writing it repeatedly across visuals and projects can quickly become tedious. This article explores how DAX User‑Defined Functions (UDFs) can transform that workflow. By encapsulating reusable narrative patterns into native DAX functions, you can build a consistent, scalable foundation for accessible reporting, one that adapts to slicers, filters, drill‑downs and refreshes without rewriting the same logic over and over. You’ll learn how UDFs work, how to structure parameters, how to call them from measures, and why separating narrative logic from model logic makes accessibility both easier and more maintainable. Whether you’re building reports solo or supporting a wider BI team, this approach helps you create alt text that’s dynamic, meaningful and genuinely helpful for screen‑reader users.","게시, 공유, 새로 고침, 자동화 등 Power BI Service 운영 흐름을 다룹니다.",https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/Accessibility-in-Action-Building-Reusable-Alternative-Text-Logic/ba-p/5286827,Juless,2026-07-13,서비스 운영,How To,,review,2026-08-15T19:37:02
18,Microsoft Fabric Community,powerbi_community_blog,Stop Clicking Through Every Page to Check What Broke: Power BI's New Desktop Bridge,Stop Clicking Through Every Page to Check What Broke: Power BI's New Desktop Bridge,"Ever made one ""small"" theme or formatting change to a multi-page report, then had to click through every single page just to make sure nothing quietly broke? Power BI's new Desktop Bridge lets a tool or an AI agent - check your report's state and screenshot every page automatically, in seconds. Here's what it is and a simple real example.",Power BI Copilot과 AI 기능을 실제 데이터 분석 흐름에 적용하는 방법을 다룹니다.,https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/Stop-Clicking-Through-Every-Page-to-Check-What-Broke-Power-BI-s/ba-p/5290719,pankajnamekar25,2026-07-13,Copilot,How To; Copilot,,review,2026-08-15T19:37:02
19,Microsoft Fabric Community,powerbi_community_blog,Fabric as Code: Scale Analytics with AI and Deterministic Automation,Fabric as Code: Scale Analytics with AI and Deterministic Automation,"Manual analytics work doesn't add up at scale — it multiplies. This post shows how treating your Fabric artifacts as source code, pairing AI agents with a deterministic core, turns analytics automation from a clever demo into something production-ready. Architecture, components, and where to start inside. 👇",Power BI Copilot과 AI 기능을 실제 데이터 분석 흐름에 적용하는 방법을 다룹니다.,https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/Fabric-as-Code-Scale-Analytics-with-AI-and-Deterministic/ba-p/5279996,harry-arce,2026-07-10,Copilot,How To; Copilot,,review,2026-08-15T19:37:02
